seller_id,delivered_orders,late_delivery_rate_pct
54965bbe3e4f07ae045b90b0b8541f52,73,30.14
a49928bcdf77c55c6d6e05e09a9b4ca5,96,26.04
beadbee30901a7f61d031b6b686095ad,64,25.0
06a2c3af7b3aee5d69171b0e14f0ee87,389,23.14
cac4c8e7b1ca6252d8f20b2fc1a2e4af,74,22.97
1ca7077d890b907f89be8c954a02686a,108,22.22
6039e27294dc75811c0d8a39069f52c0,63,22.22
712e6ed8aa4aa1fa65dab41fed5737e4,77,22.08
ea566164622c6b439516ab18062c42cd,50,22.0
d13e50eaa47b4cbe9eb81465865d8cfc,66,21.21
2a261b5b644fa05f4f2700eb93544f2c,51,19.61
88460e8ebdecbfecb5f9601833981930,246,19.51
e5a3438891c0bfdb9394643f95273d8e,216,18.52
cd68562d3f44870c08922d380acae552,122,18.03
002100f778ceb8431b7a1020ff7ab48f,50,18.0
